Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	rejected
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	accepted
ICA_16	rejected
ICA_17	rejected
ICA_18	accepted
ICA_19	accepted
ICA_20	rejected
ICA_21	rejected
ICA_22	rejected
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	rejected
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	rejected
ICA_34	accepted
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	rejected
ICA_41	rejected
ICA_42	rejected
ICA_43	rejected
ICA_44	rejected
ICA_45	rejected
ICA_46	accepted
ICA_47	rejected
ICA_48	rejected
ICA_49	accepted
ICA_50	rejected
ICA_51	rejected
ICA_52	rejected
ICA_53	rejected
ICA_54	rejected
ICA_55	rejected
ICA_56	rejected
ICA_57	rejected
ICA_58	rejected
ICA_59	rejected
ICA_60	accepted
ICA_61	rejected
ICA_62	rejected
ICA_63	rejected
