Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	accepted
ICA_03	rejected
ICA_04	accepted
ICA_05	rejected
ICA_06	accepted
ICA_07	rejected
ICA_08	rejected
ICA_09	accepted
ICA_10	accepted
ICA_11	accepted
ICA_12	accepted
ICA_13	accepted
ICA_14	accepted
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	accepted
ICA_19	accepted
ICA_20	rejected
ICA_21	rejected
ICA_22	rejected
ICA_23	rejected
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	rejected
ICA_28	rejected
ICA_29	accepted
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	accepted
ICA_37	rejected
ICA_38	accepted
ICA_39	rejected
ICA_40	rejected
ICA_41	accepted
ICA_42	rejected
ICA_43	accepted
ICA_44	rejected
ICA_45	rejected
ICA_46	rejected
ICA_47	rejected
ICA_48	rejected
ICA_49	rejected
ICA_50	accepted
ICA_51	rejected
ICA_52	rejected
ICA_53	rejected
ICA_54	rejected
ICA_55	rejected
ICA_56	rejected
ICA_57	rejected
ICA_58	accepted
ICA_59	accepted
ICA_60	rejected
ICA_61	rejected
ICA_62	rejected
ICA_63	rejected
ICA_64	accepted
ICA_65	rejected
